player_id,player_name,season,position,ppg,par
00-0038129,C.Otton,2024,TE,8.27058859432445,1.8823533899643845
00-0039075,P.Nacua,2024,WR,12.152941535500918,1.8823529411764692
00-0036355,J.Herbert,2024,QB,16.788234935087317,1.8152941535500933
00-0033873,P.Mahomes,2024,QB,16.648234647863053,1.6752938663258288
00-0036912,D.Smith,2024,WR,11.72941140567555,1.4588228113511015
00-0034837,C.Ridley,2024,WR,11.717646879308363,1.447058284983914
00-0036970,K.Pitts,2024,TE,7.717646879308364,1.3294116749482994
00-0039146,J.Reed,2024,WR,11.588235294117649,1.3176466997931993
00-0039849,M.Harrison,2024,WR,11.558823529411764,1.2882349350873152
00-0034972,A.Mattison,2024,RB,8.08235258214614,1.2529409071978401
00-0036309,D.Mooney,2024,WR,11.364705702837776,1.094117108513327
