player_id,season,recent_team,week,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points_ppr,fumbles,2pt,week_total,std_dev
00-0033908,2019,LA,16,0.0,0,0.0,4.0,0,94,1161.0,10,270.5,0.0,0,17,9.827340509282891
00-0033908,2020,LA,15,0.0,0,0.0,33.0,0,92,974.0,3,210.7,0.0,0,16,6.538552509085511
00-0033908,2021,LA,17,0.0,0,0.0,18.0,0,145,1947.0,16,439.5,0.0,1,17,7.4683595327412675
00-0033908,2022,LA,9,0.0,0,0.0,52.0,1,75,812.0,6,201.4,1.0,0,17,9.163484019342853
00-0033908,2023,LA,12,0.0,0,0.0,-3.0,0,59,737.0,5,164.4,0.0,1,17,8.96599624364633
00-0033911,2017,TEN,16,0.0,0,0.0,43.0,0,16,231.0,1,49.4,0.0,0,16,3.860721096232666
00-0033911,2018,TEN,13,0.0,0,0.0,0.0,0,37,466.0,1,87.6,1.0,0,16,4.988242455961194
00-0033911,2019,CLE,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,17,
00-0033911,2020,CLE,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,16,
00-0033916,2017,NYJ,9,0.0,0,0.0,27.0,0,6,82.0,0,16.9,0.0,0,16,1.8396859481138568
00-0033921,2017,TB,15,0.0,0,0.0,0.0,0,34,525.0,1,92.5,0.0,0,16,6.50029315180879
00-0033921,2018,TB,16,0.0,0,0.0,0.0,0,59,842.0,7,185.2,1.0,1,16,7.743771678462158
00-0033921,2019,TB,14,0.0,0,0.0,8.0,0,86,1333.0,9,276.1,0.0,1,17,10.76762836632674
00-0033921,2020,TB,12,0.0,0,0.0,0.0,0,65,840.0,7,191.0,0.0,0,16,7.055987962384511
00-0033921,2021,TB,14,0.0,0,0.0,21.0,1,98,1103.0,5,242.40001,2.0,0,17,7.714806841337207
00-0033921,2022,TB,15,0.0,0,0.0,5.0,0,104,1023.0,3,222.8,2.0,1,17,5.802446099255179
00-0033921,2023,TB,17,0.0,0,0.0,38.0,1,83,1024.0,2,209.2,0.0,1,17,5.2639659687311315
00-0033923,2017,KC,16,0.0,0,0.0,1327.0,8,53,455.0,3,295.2,1.0,0,16,11.352767123521312
00-0033923,2018,KC,11,0.0,0,0.0,824.0,7,26,378.0,7,230.2,0.0,0,16,9.678438545393254
00-0033923,2019,CLE,8,0.0,0,0.0,179.0,2,37,285.0,1,101.4,0.0,0,17,3.740416306154224
00-0033923,2020,CLE,16,0.0,0,0.0,841.0,6,38,304.0,5,218.5,0.0,0,16,6.959307393306794
00-0033923,2021,CLE,8,0.0,0,0.0,386.0,5,22,174.0,0,110.0,0.0,1,17,9.690201180589828
00-0033923,2022,CLE,17,0.0,0,0.0,468.0,3,35,210.0,1,126.8,0.0,0,17,5.489769862798169
00-0033923,2023,CLE,15,0.0,0,0.0,411.0,9,15,84.0,0,118.5,0.0,0,17,4.786290022048624
00-0033925,2017,HOU,9,0.0,0,0.0,327.0,2,6,83.0,0,57.0,1.0,0,16,6.932171374119672
00-0033925,2018,HOU,1,0.0,0,0.0,-1.0,0,2,28.0,1,10.7,0.0,0,16,
00-0033925,2020,TEN,5,0.0,0,0.0,95.0,0,1,5.0,1,17.0,0.0,0,16,3.5860842926859235
00-0033925,2021,TEN,9,0.0,0,0.0,566.0,3,9,123.0,0,93.9,1.0,0,17,5.147572391205402
00-0033925,2022,CAR,16,0.0,0,0.0,914.0,5,5,26.0,0,131.0,0.0,1,17,9.538474599234247
00-0033925,2023,CHI,9,0.0,0,0.0,425.0,4,11,77.0,1,91.2,0.0,0,17,9.805228269398645
00-0033932,2017,DET,11,0.0,0,0.0,9.0,0,28,477.0,3,94.6,0.0,0,16,5.869582516545225
00-0033932,2018,DET,15,0.0,0,0.0,8.0,0,70,1063.0,5,207.09999,0.0,0,16,7.316172381326987
00-0033932,2019,DET,16,0.0,0,0.0,0.0,0,65,1190.0,11,248.0,1.0,0,17,8.403808664070535
00-0033932,2020,DET,5,0.0,0,0.0,0.0,0,20,338.0,2,65.8,0.0,0,16,7.46344438465411
00-0033932,2021,NYG,14,0.0,0,0.0,0.0,0,37,521.0,0,89.1,0.0,0,17,4.618126043040202
00-0033932,2022,NYG,6,0.0,0,0.0,0.0,0,6,81.0,1,20.1,0.0,0,17,4.366119557945931
