player_id,player_name,position
00-0015811,,WR
00-0015830,,FB
00-0016098,,RB
00-0016193,,QB
00-0016214,,WR
00-0016232,,WR
00-0016296,,TE
00-0016316,,FB
00-0016321,,RB
00-0016331,,RB
00-0016347,,TE
00-0016440,,WR
00-0016534,,QB
00-0016538,,QB
00-0016550,,WR
00-0016654,,WR
00-0016677,,TE
00-0016723,,FB
00-0016811,,WR
00-0016821,,WR
00-0016837,,WR
00-0016838,,QB
00-0016842,,FB
00-0017027,,TE
00-0017109,,TE
00-0017110,,WR
00-0017121,,QB
00-0017160,,WR
00-0017162,,WR
00-0017200,,QB
00-0017209,,RB
00-0017218,,RB
00-0017301,,RB
00-0017303,,RB
00-0017322,,RB
00-0017337,,FB
00-0017356,,TE
00-0017415,,QB
00-0017470,,WR
00-0017480,,TE
00-0017486,,RB
00-0017611,,WR
00-0017662,,TE
00-0017697,,WR
00-0017829,,RB
00-0017847,,WR
00-0017860,,WR
00-0017892,,RB
00-0017896,,RB
00-0017915,,RB
00-0017922,,WR
00-0017924,,TE
00-0018141,,FB
00-0018333,,QB
00-0018343,,TE
00-0018382,,WR
00-0018441,,QB
00-0018483,,QB
00-0018501,,RB
00-0018518,,QB
00-0018608,,TE
00-0000108,,K
00-0000534,,RB
00-0000598,,WR
00-0000781,,RB
00-0001098,,RB
00-0001272,,QB
00-0001823,,QB
00-0001848,,WR
00-0002159,,RB
00-0003600,,QB
00-0004055,,WR
00-0004508,,RB
00-0004595,,RB
00-0004633,,WR
00-0004637,,TE
00-0005229,,FB
00-0005854,,TE
00-0005860,,TE
00-0006355,,QB
00-0006458,,TE
00-0006777,,WR
00-0006989,,RB
00-0007059,,QB
00-0007213,,TE
00-0007834,,QB
00-0008109,,WR
00-0008357,,WR
00-0008841,,WR
00-0009715,,QB
00-0010455,,QB
00-0010632,,RB
00-0010786,,WR
00-0010974,,WR
00-0011439,,TE
00-0011573,,RB
00-0012569,,WR
00-0013338,,QB
00-0014977,,TE
00-0015601,,RB
00-0015970,,WR
00-0017644,,TE
00-0018056,,WR
00-0018272,,QB
00-0018568,,RB
00-0018949,,K
00-0018958,,WR
00-0018971,,RB
00-0018977,,RB
00-0019021,,WR
00-0019025,,RB
00-0019027,,WR
00-0019028,,RB
00-0019057,,RB
00-0019087,,QB
00-0019093,,TE
00-0019100,,FB
00-0019109,,WR
00-0019127,,TE
00-0019135,,FB
00-0019192,,QB
00-0019206,,WR
00-0019207,,TE
00-0019231,,WR
00-0019238,,RB
00-0019255,,WR
00-0019278,,QB
00-0019290,,TE
00-0019338,,WR
00-0019350,,WR
00-0019382,,RB
00-0019442,,QB
00-0019455,,WR
00-0019457,,TE
00-0019461,,WR
00-0019464,,TE
00-0019466,,RB
00-0019471,,RB
00-0019473,,RB
00-0019481,,WR
00-0019484,,RB
00-0019486,,TE
00-0019491,,WR
00-0019505,,WR
00-0019516,,RB
00-0019533,,RB
00-0019543,,WR
00-0019552,,WR
00-0019553,,QB
00-0019559,,QB
00-0019564,,TE
00-0019576,,RB
00-0019579,,QB
00-0019587,,FB
00-0019590,,RB
00-0019594,,RB
00-0019596,T.Brady,QB
00-0019604,,WR
00-0019606,,WR
00-0019609,,RB
00-0019614,,RB
00-0019622,,QB
00-0019623,,QB
00-0019641,,RB
00-0019642,,WR
00-0019643,,RB
